11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
11:26:57.640 -> 	0LFlow rate: 24.64L/min	Output Liquid Quantity: 754mL
11:26:58.594 -> 	0LFlow rate: 22.87L/min	Output Liquid Quantity: 1135mL
11:26:59.643 -> 	1LFlow rate: 22.87L/min	Output Liquid Quantity: 1516mL
11:27:00.611 -> 	1LFlow rate: 22.87L/min	Output Liquid Quantity: 1897mL
11:27:01.642 -> 	1LFlow rate: 27.31L/min	Output Liquid Quantity: 2352mL
11:27:02.631 -> 	2LFlow rate: 28.64L/min	Output Liquid Quantity: 2829mL
11:27:03.662 -> 	2LFlow rate: 21.09L/min	Output Liquid Quantity: 3180mL
11:27:04.645 -> 	3LFlow rate: 29.53L/min	Output Liquid Quantity: 3672mL
11:27:05.645 -> 	3LFlow rate: 54.17L/min	Output Liquid Quantity: 4574mL
11:27:06.657 -> 	4LFlow rate: 24.42L/min	Output Liquid Quantity: 4981mL
11:27:07.643 -> 	4LFlow rate: 29.08L/min	Output Liquid Quantity: 5465mL
11:27:08.664 -> 	5LFlow rate: 17.74L/min	Output Liquid Quantity: 5760mL
11:27:09.653 -> 	5LFlow rate: 42.62L/min	Output Liquid Quantity: 6470mL
11:27:10.684 -> 	6LFlow rate: 43.51L/min	Output Liquid Quantity: 7195mL
11:27:11.663 -> 	7LFlow rate: 54.17L/min	Output Liquid Quantity: 8097mL
11:27:12.687 -> 	8LFlow rate: 32.63L/min	Output Liquid Quantity: 8640mL
11:27:13.698 -> 	8LFlow rate: 45.29L/min	Output Liquid Quantity: 9394mL
11:27:14.673 -> 	9LFlow rate: 33.74L/min	Output Liquid Quantity: 9956mL
11:27:15.673 -> 	9LFlow rate: 24.64L/min	Output Liquid Quantity: 10366mL
11:27:16.694 -> 	10LFlow rate: 32.19L/min	Output Liquid Quantity: 10902mL
11:27:17.693 -> 	10LFlow rate: 6.22L/min	Output Liquid Quantity: 11005mL
11:27:18.687 -> 	11LFlow rate: 11.32L/min	Output Liquid Quantity: 11193mL
11:27:19.733 -> 	11LFlow rate: 2.89L/min	Output Liquid Quantity: 11241mL
11:27:20.734 -> 	11LFlow rate: 25.97L/min	Output Liquid Quantity: 11673mL
11:27:21.748 -> 	11LFlow rate: 15.10L/min	Output Liquid Quantity: 11924mL
11:27:22.728 -> 	11LFlow rate: 5.11L/min	Output Liquid Quantity: 12009mL
11:27:23.749 -> 	12LFlow rate: 4.00L/min	Output Liquid Quantity: 12075mL
11:27:24.728 -> 	12LFlow rate: 4.88L/min	Output Liquid Quantity: 12156mL
11:27:25.761 -> 	12LFlow rate: 4.88L/min	Output Liquid Quantity: 12237mL
11:27:26.750 -> 	12LFlow rate: 49.73L/min	Output Liquid Quantity: 13065mL
11:27:27.756 -> 	13LFlow rate: 15.76L/min	Output Liquid Quantity: 13327mL
11:27:28.764 -> 	13LFlow rate: 49.73L/min	Output Liquid Quantity: 14155mL
11:27:29.767 -> 	14LFlow rate: 50.39L/min	Output Liquid Quantity: 14994mL
11:27:30.766 -> 	14LFlow rate: 21.53L/min	Output Liquid Quantity: 15352mL
11:27:31.759 -> 	15LFlow rate: 31.75L/min	Output Liquid Quantity: 15881mL
11:27:32.769 -> 	15LFlow rate: 1.55L/min	Output Liquid Quantity: 15906mL
11:27:33.777 -> 	15LFlow rate: 29.97L/min	Output Liquid Quantity: 16405mL
11:27:34.781 -> 	16LFlow rate: 35.08L/min	Output Liquid Quantity: 16989mL
11:27:35.789 -> 	16LFlow rate: 34.63L/min	Output Liquid Quantity: 17566mL
11:27:36.786 -> 	17LFlow rate: 43.73L/min	Output Liquid Quantity: 18294mL
11:27:37.813 -> 	18LFlow rate: 30.19L/min	Output Liquid Quantity: 18797mL
11:27:38.797 -> 	18LFlow rate: 25.09L/min	Output Liquid Quantity: 19215mL
11:27:39.798 -> 	19LFlow rate: 35.96L/min	Output Liquid Quantity: 19814mL
11:27:40.816 -> 	19LFlow rate: 24.42L/min	Output Liquid Quantity: 20221mL
11:27:41.822 -> 	20LFlow rate: 35.30L/min	Output Liquid Quantity: 20809mL
11:27:42.808 -> 	20LFlow rate: 32.86L/min	Output Liquid Quantity: 21356mL
11:27:43.841 -> 	21LFlow rate: 32.41L/min	Output Liquid Quantity: 21896mL
11:27:44.817 -> 	21LFlow rate: 28.42L/min	Output Liquid Quantity: 22369mL
11:27:45.843 -> 	22LFlow rate: 28.64L/min	Output Liquid Quantity: 22846mL
11:27:46.853 -> 	22LFlow rate: 23.75L/min	Output Liquid Quantity: 23241mL
11:27:47.853 -> 	23LFlow rate: 29.27L/min	Output Liquid Quantity: 23728mL
11:27:48.854 -> 	23LFlow rate: 55.72L/min	Output Liquid Quantity: 24656mL
11:27:49.890 -> 	24LFlow rate: 42.18L/min	Output Liquid Quantity: 25359mL
11:27:50.842 -> 	25LFlow rate: 54.61L/min	Output Liquid Quantity: 26269mL
11:27:51.846 -> 	26LFlow rate: 42.40L/min	Output Liquid Quantity: 26975mL
11:27:52.857 -> 	26LFlow rate: 5.55L/min	Output Liquid Quantity: 27067mL
11:27:53.871 -> 	27LFlow rate: 49.73L/min	Output Liquid Quantity: 27895mL
11:27:54.858 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:27:55.869 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:27:56.886 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:27:57.874 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:27:58.916 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:27:59.893 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:00.884 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:01.899 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:02.935 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:03.912 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:04.954 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:05.940 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:06.944 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:07.936 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:08.945 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:09.929 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:10.933 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:11.952 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:12.976 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:13.966 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:14.960 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:16.000 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:16.986 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:17.976 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:18.996 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:20.009 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:20.993 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:22.000 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:22.992 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:24.031 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:25.022 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:26.031 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:27.036 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:28.027 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:29.028 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:30.023 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:31.029 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:32.043 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:33.047 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:34.044 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:35.046 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:36.088 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:37.077 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:38.071 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:39.105 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:40.093 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:41.079 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:42.121 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:43.085 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:44.101 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:45.095 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:46.115 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:47.103 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:48.108 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:49.137 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:50.123 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:51.128 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:52.153 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:53.159 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:54.163 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:55.153 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:56.149 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:57.188 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:58.170 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:28:59.157 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:00.167 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:01.196 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:02.179 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:03.199 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:04.206 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:05.191 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:06.204 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:07.206 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:08.213 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:09.205 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:10.213 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:11.217 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:12.224 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:13.260 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:14.230 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:15.247 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:16.274 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:17.285 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:18.271 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:19.291 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:20.268 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:21.314 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:22.264 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:23.297 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:24.319 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:25.281 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:26.314 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:27.298 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:28.329 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:29.299 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:30.330 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:31.316 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:32.349 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:33.331 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:34.364 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:35.353 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:36.340 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:37.375 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:38.366 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:39.389 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:40.377 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:41.387 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:42.360 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:43.407 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:44.388 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:45.398 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:46.389 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:47.416 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:48.396 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:49.404 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:50.433 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:51.419 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:52.431 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:53.440 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:54.432 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:55.419 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:56.453 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
