11:22:30.260 -> Flow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:30.308 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:31.307 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:32.349 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:33.302 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:34.321 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:35.310 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:36.354 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:37.348 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:38.341 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:39.368 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:40.348 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:41.371 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:42.370 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:43.386 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:44.376 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:45.377 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:46.397 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:47.378 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:48.384 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:49.398 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:50.400 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:51.424 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:52.413 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
