Flow rate: 11.10L/min	Output Liquid Quantity: 185mL
	0LFlow rate: 10.88L/min	Output Liquid Quantity: 366mL
	0LFlow rate: 11.10L/min	Output Liquid Quantity: 551mL
	0LFlow rate: 10.88L/min	Output Liquid Quantity: 732mL
	0LFlow rate: 11.10L/min	Output Liquid Quantity: 917mL
	0LFlow rate: 10.88L/min	Output Liquid Quantity: 1098mL
	1LFlow rate: 11.10L/min	Output Liquid Quantity: 1283mL
	1LFlow rate: 10.88L/min	Output Liquid Quantity: 1464mL
	1LFlow rate: 11.10L/min	Output Liquid Quantity: 1649mL
	1LFlow rate: 11.10L/min	Output Liquid Quantity: 1834mL
	1LFlow rate: 10.88L/min	Output Liquid Quantity: 2015mL
	2LFlow rate: 11.10L/min	Output Liquid Quantity: 2200mL
	2LFlow rate: 11.09L/min	Output Liquid Quantity: 2384mL
	2LFlow rate: 10.88L/min	Output Liquid Quantity: 2565mL
	2LFlow rate: 10.88L/min	Output Liquid Quantity: 2746mL
	2LFlow rate: 10.88L/min	Output Liquid Quantity: 2927mL
	2LFlow rate: 11.10L/min	Output Liquid Quantity: 3112mL
	3LFlow rate: 11.10L/min	Output Liquid Quantity: 3297mL
	3LFlow rate: 10.88L/min	Output Liquid Quantity: 3478mL
	3LFlow rate: 10.88L/min	Output Liquid Quantity: 3659mL
	3LFlow rate: 10.88L/min	Output Liquid Quantity: 3840mL
	3LFlow rate: 11.10L/min	Output Liquid Quantity: 4025mL
	4LFlow rate: 10.88L/min	Output Liquid Quantity: 4206mL
	4LFlow rate: 11.10L/min	Output Liquid Quantity: 4391mL
	4LFlow rate: 11.10L/min	Output Liquid Quantity: 4576mL
	4LFlow rate: 10.88L/min	Output Liquid Quantity: 4757mL
	4LFlow rate: 11.10L/min	Output Liquid Quantity: 4942mL
	4LFlow rate: 11.10L/min	Output Liquid Quantity: 5127mL
	5LFlow rate: 11.10L/min	Output Liquid Quantity: 5312mL
	5LFlow rate: 10.88L/min	Output Liquid Quantity: 5493mL
	5LFlow rate: 10.88L/min	Output Liquid Quantity: 5674mL
	5LFlow rate: 11.10L/min	Output Liquid Quantity: 5859mL
	5LFlow rate: 10.88L/min	Output Liquid Quantity: 6040mL
	6LFlow rate: 11.10L/min	Output Liquid Quantity: 6225mL
	6LFlow rate: 10.88L/min	Output Liquid Quantity: 6406mL
	6LFlow rate: 11.10L/min	Output Liquid Quantity: 6591mL
	6LFlow rate: 11.10L/min	Output Liquid Quantity: 6776mL
	6LFlow rate: 10.88L/min	Output Liquid Quantity: 6957mL
	6LFlow rate: 10.88L/min	Output Liquid Quantity: 7138mL
	7LFlow rate: 11.10L/min	Output Liquid Quantity: 7323mL
	7LFlow rate: 11.10L/min	Output Liquid Quantity: 7508mL
	7LFlow rate: 11.10L/min	Output Liquid Quantity: 7693mL
	7LFlow rate: 10.88L/min	Output Liquid Quantity: 7874mL
	7LFlow rate: 11.10L/min	Output Liquid Quantity: 8059mL
	8LFlow rate: 10.88L/min	Output Liquid Quantity: 8240mL
	8LFlow rate: 9.32L/min	Output Liquid Quantity: 8395mL
	8LFlow rate: 2.00L/min	Output Liquid Quantity: 8428mL
	8LFlow rate: 0.22L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
